,21
AAPL,0.011582966628932262
ABBV,0.01343771965545812
AMD,0.019444033589107953
AMZN,0.01090526839074168
AVGO,0.07655324320315261
CME,0.01141775842516099
COST,0.01469991123822857
FDIVX,0.07587462788668996
FXY,0.011253058272446822
GLD,0.010275110397581659
GOOG,0.010867893414869746
HD,0.06338188630708207
INTC,0.012885837491270504
KO,0.07684976619085836
META,0.011812153995146187
MSFT,0.07938350845446536
NVDA,0.07939347128645709
PEP,0.012238399182003926
PFE,0.04825613791028742
PG,0.01986138208077201
SCHD,0.026591641930997872
SLV,0.010242574999659476
SPLB,0.07811203561467736
TLT,0.07879739473800494
VDE,0.010703483226067383
VEA,0.011796887704759413
VWO,0.010828033331516905
VYM,0.012433405304925076
WMT,0.0121072608286621
XOM,0.07801314832001617
